,cantidadImg,accuracy,precision,time
0,10,0.9130952380952381,0.9150811551717858,0.8834893703460693
1,20,0.9303571428571429,0.9300874587889181,1.0526137351989746
2,30,0.9432539682539682,0.9430318456783736,2.260730028152466
3,40,0.9288690476190476,0.928453678401147,3.3640265464782715
4,50,0.9492857142857143,0.9484277899691879,4.570348262786865
5,60,0.9468253968253968,0.9462584194441277,6.025137186050415
6,70,0.9564625850340136,0.956346379728763,7.986444473266602
7,80,0.953422619047619,0.953740908082333,10.255169153213501
8,90,0.955026455026455,0.9548246381177312,12.375076293945312
9,100,0.9594047619047619,0.9589947472192275,14.592070579528809
