,cantidadImg,accuracy,precision,time
0,500,0.81,0.8098246198246197,0.5056538581848145
1,1000,0.78,0.777516708437761,0.1181485652923584
2,1500,0.9,0.8970661106322873,0.6107234954833984
3,2000,0.885,0.8827235393269479,0.5955321788787842
4,2500,0.906,0.9022447249608074,1.0632381439208984
5,3000,0.91,0.9101227789765287,0.7180221080780029
6,3500,0.9428571428571428,0.9406309584803969,0.7716538906097412
7,4000,0.9025,0.9001035111742585,0.41346120834350586
8,4500,0.9088888888888889,0.9069799411669243,0.9343643188476562
9,5000,0.924,0.9247946867083094,0.5609467029571533
10,5500,0.9136363636363637,0.9143877291134117,1.0282022953033447
11,6000,0.9108333333333334,0.9118962687947274,0.6781904697418213
12,6500,0.9238461538461539,0.925147691687682,0.7521157264709473
13,7000,0.9378571428571428,0.9377693661661253,0.9837276935577393
14,7500,0.9266666666666666,0.9261539807116812,1.3820316791534424
15,8000,0.926875,0.926358951211121,1.6401116847991943
16,8500,0.9217647058823529,0.9215980890773711,1.0802357196807861
17,9000,0.9255555555555556,0.9248316515563444,2.2111074924468994
18,9500,0.9236842105263158,0.9217430066687056,1.6916346549987793
19,10000,0.933,0.9313528928958756,1.839883804321289
20,10500,0.9371428571428572,0.9359893708986077,1.9092381000518799
21,11000,0.9345454545454546,0.9340651137578714,2.036332845687866
22,11500,0.9321739130434783,0.9326634279261231,1.6151881217956543
23,12000,0.9354166666666667,0.9361409768860446,1.707700252532959
24,12500,0.94,0.9407210359588106,2.323678731918335
25,13000,0.9338461538461539,0.9345372421167681,2.383819341659546
26,13500,0.9366666666666666,0.9361133982680334,2.0363733768463135
27,14000,0.9375,0.9371571784931259,2.702824115753174
28,14500,0.9348275862068965,0.9347972471644945,2.9204444885253906
29,15000,0.9366666666666666,0.9362331591816517,2.4406981468200684
30,15500,0.9461290322580646,0.9458810366126464,3.3999006748199463
31,16000,0.94625,0.9459937756204667,2.684614896774292
32,16500,0.9484848484848485,0.9478875966559297,2.7737314701080322
33,17000,0.9491176470588235,0.9493651235854996,3.0082075595855713
34,17500,0.95,0.9496070629646043,3.51006817817688
35,18000,0.9494444444444444,0.9495837306415,4.1082751750946045
36,18500,0.9494594594594594,0.949033603394537,3.776482343673706
37,19000,0.9536842105263158,0.9531803746909671,4.355518102645874
38,19500,0.9482051282051283,0.9483524458444924,4.094447135925293
39,20000,0.95275,0.9525940338709555,4.134545803070068
40,20500,0.9497560975609756,0.9493261045551588,4.346469879150391
41,21000,0.9461904761904761,0.9461975995111682,4.065428733825684
42,21500,0.9488372093023256,0.9485396227168635,4.184746980667114
43,22000,0.9506818181818182,0.9505874706365157,4.36454701423645
44,22500,0.9491111111111111,0.949077767700531,5.280052185058594
45,23000,0.9502173913043478,0.949746307035964,4.524132251739502
46,23500,0.9514893617021276,0.9511389031487699,5.2042622566223145
47,24000,0.9479166666666666,0.9475440429990807,5.198042392730713
48,24500,0.9573469387755102,0.9567416554924563,5.637969970703125
49,25000,0.9492,0.9487219591797155,5.923640251159668
50,25500,0.9523529411764706,0.9518123048954201,5.983458757400513
51,26000,0.9507692307692308,0.9503267416062856,5.795512914657593
52,26500,0.9522641509433962,0.951792760648987,6.439602613449097
53,27000,0.9511111111111111,0.9511145935521732,7.338265419006348
54,27500,0.9549090909090909,0.954693418199809,6.807242155075073
55,28000,0.9498214285714286,0.9495187383940827,6.8892645835876465
56,28500,0.9552631578947368,0.9547557090175388,7.3076817989349365
57,29000,0.9486206896551724,0.9478237690370872,7.078527927398682
58,29500,0.9515254237288135,0.950890801591479,7.723738670349121
59,30000,0.9496666666666667,0.9489052379028179,7.744474649429321
60,30500,0.9498360655737705,0.9498700532825168,7.6407554149627686
61,31000,0.9488709677419355,0.9483501058188585,8.461181402206421
62,31500,0.9507936507936507,0.9505585489048857,8.266156435012817
63,32000,0.9503125,0.9498743252829234,9.233414888381958
64,32500,0.9478461538461539,0.9475195054639262,8.717559099197388
65,33000,0.9556060606060606,0.9559234888602187,9.51371145248413
66,33500,0.9532835820895522,0.953149592080812,10.495999813079834
67,34000,0.9482352941176471,0.9486642141807385,9.25430703163147
68,34500,0.9498550724637681,0.950346156769147,9.66325068473816
69,35000,0.9564285714285714,0.9567344207249671,9.403309106826782
70,35500,0.9557746478873239,0.9566863959281348,10.656753063201904
71,36000,0.9547222222222222,0.9549695380978107,10.069573402404785
72,36500,0.9573972602739727,0.9575861441531288,10.00687289237976
73,37000,0.9555405405405405,0.9558009678530182,10.381312847137451
74,37500,0.9608,0.9611221765934186,10.952396154403687
75,38000,0.9576315789473684,0.9580355775939797,11.436727285385132
76,38500,0.9542857142857143,0.9543822090344511,11.032554388046265
77,39000,0.9567948717948718,0.9572781330073674,11.974528789520264
78,39500,0.9583544303797469,0.958669808801182,11.810246229171753
79,40000,0.9595,0.9599314829528456,12.701534509658813
80,40500,0.9603703703703703,0.9601806780942038,12.621522903442383
81,41000,0.9586585365853658,0.9584073020195232,13.104271411895752
82,41500,0.9551807228915663,0.9549663129436541,13.345822095870972
83,42000,0.964047619047619,0.963892391113875,12.999544143676758
