Numero,Vecinos,Porcentaje,Accuracy,Precision,Recall
0,1,1,0.8106301106301106,0.8128816921917468,0.8067755917464783
1,3,1,0.7984848484848485,0.8032642817007337,0.793894812283884
2,5,1,0.7963684463684464,0.7997497416348367,0.7916262116339438
3,7,1,0.7892255892255893,0.7953000866606043,0.7841814382566218
4,9,1,0.7818181818181819,0.7898442507553859,0.7763296536034633
5,11,1,0.774074074074074,0.7836242117126806,0.7682129666320934
6,13,1,0.7651996151996152,0.7768767402387193,0.7589992990900527
7,15,1,0.7569023569023569,0.7708702854845677,0.7503580706701667
8,17,1,0.7506734006734007,0.7664205226482271,0.7438423134027823
9,19,1,0.744901394901395,0.7627625640428548,0.7377594809061427
10,21,1,0.7377344877344877,0.7571829102159529,0.7303740499340038
11,23,1,0.7328042328042328,0.7541456687555204,0.7251850389349903
12,25,1,0.7265512265512265,0.7496563127843057,0.7186616284301378
13,27,1,0.7204665704665705,0.7450008114288257,0.712367422492046
14,29,1,0.7150793650793651,0.7411794290299023,0.7068256677998603
15,31,1,0.710918710918711,0.7376321019835798,0.7025103984270326
16,33,1,0.7058922558922559,0.7335433779930243,0.6973865857079913
17,35,1,0.7026214526214526,0.731609685899268,0.6940281897601569
18,37,1,0.6975709475709476,0.7275935747250746,0.688812465130715
19,39,1,0.693987493987494,0.7246080816724865,0.6851312079863918
20,41,1,0.6906445406445406,0.7223489611865883,0.6816361568819982
21,43,1,0.6865319865319865,0.7192827642359126,0.677443507804501
22,45,1,0.6826118326118326,0.7154772268239484,0.6734128002491202
23,47,1,0.6793169793169793,0.7138034896729029,0.66999877712732
24,49,1,0.6768157768157769,0.7125980136713765,0.6674277327626111
25,51,1,0.6725829725829726,0.7089810444073414,0.6630762791776915
26,53,1,0.6694324194324194,0.7070688941691239,0.6598762211093673
27,55,1,0.6660173160173161,0.7041756194499071,0.6563483519107909
28,57,1,0.6642616642616642,0.7031821949682091,0.6545149408213221
29,59,1,0.660966810966811,0.7005867506423895,0.6511892461715469
30,61,1,0.658056758056758,0.697964380172883,0.6482012428914254
31,63,1,0.6547378547378547,0.6962544849903292,0.6447898279814728
32,65,1,0.6519480519480519,0.6932128872531742,0.6419151032389536
33,67,1,0.6488455988455989,0.690376786797611,0.6387435956632391
34,69,1,0.6468734968734968,0.6895207138687546,0.6366953744288314
35,71,1,0.6435786435786436,0.6874817169786364,0.6333587965704014
36,73,1,0.6408850408850408,0.6857358396449762,0.630601563947601
37,75,1,0.6373737373737374,0.6822426308908504,0.6270217046768425
38,77,1,0.6346801346801347,0.6800647834613357,0.6242869093506609
39,79,1,0.6323232323232323,0.6794728267387201,0.6219014635171849
40,81,1,0.6298220298220298,0.6779915369173095,0.619320809282389
41,83,1,0.6265512265512265,0.6749613343175456,0.615983054726162
42,85,1,0.6246512746512747,0.6740593516743593,0.6140273316504123
43,87,1,0.6214285714285714,0.6712282391392488,0.6107629753892604
44,89,1,0.6176527176527177,0.6679667691075567,0.6069278457633476
45,91,1,0.6151274651274651,0.666284702246488,0.6044027215952754
46,93,1,0.6121212121212121,0.6633616660475782,0.6013371902075283
47,95,1,0.60990860990861,0.6618301756860808,0.5990715553000062
48,97,1,0.6083934583934584,0.6617290498812316,0.597540908663417
49,99,1,0.6071428571428571,0.6611785664069662,0.5962672080807282
50,1,3,0.8723613156602847,0.872092050921311,0.8707872517351747
51,3,3,0.8737849779086893,0.8728393478046185,0.871868149948029
52,5,3,0.8758468335787923,0.8746907063949865,0.8738713770869746
53,7,3,0.8731222385861561,0.872432006664918,0.8710714601760523
54,9,3,0.8676485027000491,0.8673085046254612,0.8654456461974382
55,11,3,0.8633775159548356,0.8632436826446064,0.8609934506546713
56,13,3,0.8581492390770741,0.8582467436620975,0.855634149624715
57,15,3,0.8541482572410407,0.8546811962329526,0.851564783242033
58,17,3,0.8497790868924889,0.850649485930365,0.8470532401871511
59,19,3,0.8459008345606284,0.8471774026706953,0.8431157796289707
60,21,3,0.842120765832106,0.8437501907936774,0.8392049634007966
61,23,3,0.8388316151202749,0.8408757654916762,0.8357604438626545
62,25,3,0.8346097201767305,0.8370973777167761,0.8314347236126164
63,27,3,0.8312223858615612,0.8340086054137332,0.8279483209641437
64,29,3,0.8281050564555719,0.8311566158698506,0.8247407726441957
65,31,3,0.8234413352970054,0.8267061155090593,0.8199040659794191
66,33,3,0.8206431026018655,0.8242822129114904,0.8169462309430905
67,35,3,0.8164948453608247,0.820447000652029,0.8126792574359343
68,37,3,0.8138193421698576,0.8180961784703433,0.8098440250346975
69,39,3,0.8114138438880707,0.8161552696435578,0.8073664121130749
70,41,3,0.8080019636720668,0.8130878343689147,0.8038311053258
71,43,3,0.8047373588610702,0.8101838593421693,0.8004164416346322
72,45,3,0.802626411389298,0.8082613435942945,0.7981916824106713
73,47,3,0.7985763377515955,0.8044528753823116,0.7940395452503171
74,49,3,0.795753559155621,0.8021144351303697,0.791136958507507
75,51,3,0.7929553264604811,0.7996516410675167,0.7881851317093795
76,53,3,0.7906480117820324,0.797860946375164,0.7857878914878993
77,55,3,0.7897398134511536,0.797162531357543,0.7848119221083856
78,57,3,0.7874570446735395,0.7949946600364124,0.7824543193888824
79,59,3,0.7845851742758959,0.7922075032599613,0.7794744630782711
80,61,3,0.7823514972999509,0.7902509772569837,0.7771578925740048
81,63,3,0.7806332842415317,0.7889032570698824,0.7753184145229207
82,65,3,0.7789641629847815,0.7873414025081147,0.773574559323436
83,67,3,0.7766813942071674,0.7853574205373828,0.7711824673504422
84,69,3,0.775478645066274,0.7843893076985011,0.76996326631317
85,71,3,0.7735886107020128,0.7827038278593799,0.7679828688837119
86,73,3,0.7721158566519392,0.7814232240027519,0.7664626264333388
87,75,3,0.769833087874325,0.7795423760126401,0.7640874587065667
88,77,3,0.7675748649975455,0.7775604961853413,0.7617768619245737
89,79,3,0.7655375552282768,0.7757349657403506,0.75965917817223
90,81,3,0.7636229749631811,0.7742966780582516,0.757697974437799
91,83,3,0.7623956799214531,0.7733716741574626,0.7564006437774707
92,85,3,0.7609229258713794,0.7716910647877084,0.754856623166589
93,87,3,0.7581492390770741,0.769380561827323,0.751998708880034
94,89,3,0.7568973981345115,0.768490620589416,0.7506992809624474
95,91,3,0.7553755522827688,0.7669627384229567,0.7491293437610498
96,93,3,0.7542218949435444,0.7661849367540329,0.7479092678603148
97,95,3,0.7516445753559156,0.7638671442843669,0.7452778066306035
98,97,3,0.750220913107511,0.7624537701407978,0.7437812718244878
99,99,3,0.7486745213549337,0.7612137683908986,0.7421531794233143
100,1,5,0.8953634085213033,0.895214870724242,0.8943022105278047
101,3,5,0.8984962406015038,0.8983252332887209,0.8973180719220292
102,5,5,0.8999749373433584,0.8999641067066341,0.898786614799952
103,7,5,0.8971929824561403,0.8974084799774531,0.8958979642369729
104,9,5,0.8949624060150376,0.8954293343207901,0.8936239988247039
105,11,5,0.8912781954887218,0.8920772300552879,0.8898171488540605
106,13,5,0.8876190476190476,0.888851235632463,0.8860560847126507
107,15,5,0.8842105263157894,0.8857197744000924,0.8825955440729851
108,17,5,0.8816040100250626,0.8833087382529108,0.8799529429978328
109,19,5,0.8781203007518797,0.8800703358069585,0.8763422985918243
110,21,5,0.87531328320802,0.877621529328802,0.8734939110883888
111,23,5,0.8725062656641605,0.8752010160094722,0.8706540111884596
112,25,5,0.8700501253132832,0.8730623946052098,0.8681032593650297
