Numero,Vecinos,Porcentaje,Accuracy,Precision,Recall,Time
0,49,49,0.9222222222222223,0.9220679945307436,0.9214720140808407,23.269333362579346
1,99,49,0.9079831932773109,0.907952169164078,0.9069531150462661,23.31070852279663
2,49,99,0.9428571428571428,0.9424407951218049,0.9434075205748623,9.076698541641235
3,99,99,0.930952380952381,0.9302289381843462,0.9306733834417482,9.078243494033813
