Numero,Vecinos,Porcentaje,Accuracy,Precision,Recall,Time
0,25,25,0.9222539682539682,0.9225768388377963,0.9215350471639588,17.119433641433716
1,50,25,0.9076825396825396,0.9086256114974105,0.9067557088479908,17.089037895202637
2,75,25,0.8964126984126984,0.8978130887127287,0.8952638485792482,17.29094910621643
3,25,50,0.9357142857142857,0.9356010989501835,0.9352172168854306,24.499964475631714
4,50,50,0.9253333333333333,0.9255315935744995,0.9246144325007035,24.477437019348145
5,75,50,0.9174761904761904,0.9179346872972601,0.9165993462665339,24.69182014465332
6,25,75,0.9443809523809524,0.9443055276526164,0.9440343928796769,21.621684789657593
7,50,75,0.9347619047619048,0.9349715857330627,0.9342814767739279,21.26558232307434
8,75,75,0.928952380952381,0.9293443507926604,0.9282593136128285,21.447985887527466
