Numero,Vecinos,Porcentaje,Accuracy,Precision,Recall,Time
0,51,10,0.8801322751322751,0.8830473936427954,0.878161292720448,8.948642015457153
1,51,20,0.895625,0.8981491737712345,0.8943129103003882,13.879241466522217
2,51,30,0.9019727891156463,0.9036217143546258,0.9007640274935211,17.781986474990845
3,51,40,0.9179365079365079,0.9188733293187438,0.9171141587861461,20.19638204574585
4,51,50,0.9242380952380952,0.9249992515442127,0.9236339412699893,21.649118185043335
5,51,60,0.924345238095238,0.9247465024113618,0.923419674056748,21.09169292449951
6,51,70,0.9282596619315927,0.9286124988364332,0.927300562921,20.087037324905396
7,51,80,0.9346428571428571,0.9349374124197676,0.9336497108225682,18.39304828643799
8,51,90,0.9371428571428572,0.9373861745335761,0.9366329676331938,13.22671389579773
